,"Unnamed: 0","Id_x","R_x","Nome","Squadra_x","Pg","Mv","Mf","WeightedPerf","Name","Id_y","R_y","Squadra_y","Qt. Amantra","Qt. Imantra","Diff.","ComputedPrices"
110,110,507,"A","MURIEL","Fiorentina",19,6,6.92,3.46,"MURIEL",507,"Pc","Atalanta",19,17,2,6.84160554536791
146,146,695,"D","TOLOI","Atalanta",21,6.07,6.19,3.42078947368421,"TOLOI",695,"Dc","Atalanta",10,10,0,6.46963372291787
184,184,1974,"A","SCHICK","Roma",21,5.81,6.17,3.40973684210526,"SCHICK",1974,"Pc","Roma",12,12,0,6.36478260518025
156,156,787,"D","DJIMSITI","Atalanta",22,5.84,5.86,3.39263157894737,"DJIMSITI",787,"Dc","Atalanta",8,8,0,6.20251301820545
381,381,,,,,,,,3.38423652055217,"NESTOROVSKI",1943,"Pc","Udinese",10,10,0,6.12287304740561
382,382,,,,,,,,3.38423652055217,"BISOLI",4445,"M;C","Brescia",10,10,0,6.12287304740561
383,383,,,,,,,,3.38423652055217,"LUCASLEIVA",2209,"M;C","Lazio",10,10,0,6.12287304740561
384,384,,,,,,,,3.38423652055217,"DESILVESTRI",487,"Dd;E","Torino",10,10,0,6.12287304740561
385,385,,,,,,,,3.38423652055217,"SCHONE",4512,"C","Genoa",10,10,0,6.12287304740561
158,158,790,"D","SAMIR","Udinese",21,5.88,6.05,3.34342105263158,"SAMIR",790,"Ds;Dc","Udinese",8,7,1,5.73567589875473
210,210,2120,"D","BASTONI","Parma",21,5.95,6.05,3.34342105263158,"BASTONI",2120,"Dc","Inter",4,4,0,5.73567589875473
312,312,2854,"C","BRADARIC","Cagliari",23,5.65,5.5,3.32894736842105,"BRADARIC",2854,"M;C","Cagliari",4,4,0,5.59837086362212
28,28,170,"C","BADELJ","Lazio",22,5.82,5.73,3.31736842105263,"BADELJ",170,"M;C","Fiorentina",6,6,0,5.48852683551609
242,242,2274,"C","VALOTI","SPAL",21,5.86,6,3.31578947368421,"VALOTI",2274,"C;T","SPAL",6,6,0,5.47354810441073
288,288,2784,"D","COLLEY","Sampdoria",21,5.93,5.88,3.24947368421053,"COLLEY",2784,"Dc","Sampdoria",7,7,0,4.84444139798521
239,239,2246,"A","CERAVOLO","Parma",22,5.45,5.57,3.22473684210526,"CERAVOLO",2246,"Pc","Parma",3,3,0,4.60977461066767
255,255,2334,"A","LERIS","Chievo",22,5.59,5.52,3.19578947368421,"LERIS",2334,"C;W","Sampdoria",5,5,0,4.33516454040258
386,386,,,,,,,,3.16909381326123,"LAMANTIA",4477,"Pc","Lecce",9,9,0,4.08191536493707
387,387,,,,,,,,3.16909381326123,"PAZZINI",636,"Pc","Verona",9,9,0,4.08191536493707
388,388,,,,,,,,3.16909381326123,"LAZARO",4385,"E","Inter",9,9,0,4.08191536493707
389,389,,,,,,,,3.16909381326123,"ZAPPACOSTA",554,"Dd;E","Roma",9,9,0,4.08191536493707
390,390,,,,,,,,3.16909381326123,"PEZZELLAGER",2309,"Dc","Fiorentina",9,10,-1,4.08191536493707
391,391,,,,,,,,3.16909381326123,"ROMEROC",4307,"Dc","Genoa",9,9,0,4.08191536493707
392,392,,,,,,,,3.16909381326123,"VAVRO",4397,"Dc","Lazio",9,9,0,4.08191536493707
393,393,,,,,,,,3.16909381326123,"BRUNOALVES",1864,"Dc","Parma",9,9,0,4.08191536493707
394,394,,,,,,,,3.16909381326123,"FERRARIG",1895,"Dc","Sassuolo",9,9,0,4.08191536493707
395,395,,,,,,,,3.16909381326123,"RODRIGOBECAO",4412,"Dc","Udinese",9,7,2,4.08191536493707
396,396,,,,,,,,3.16909381326123,"DUARTE",4511,"Dc","Milan",9,9,0,4.08191536493707
397,397,,,,,,,,3.16909381326123,"ZACCAGNI",632,"C;T","Verona",9,9,0,4.08191536493707
398,398,,,,,,,,3.16909381326123,"SKOVOLSEN",4415,"A","Bologna",9,9,0,4.08191536493707
269,269,2744,"C","SVANBERG","Bologna",21,5.67,5.71,3.15552631578947,"SVANBERG",2744,"C","Bologna",3,3,0,3.9532068972156
307,307,2836,"P","OLSEN","Roma",27,6,4.41,3.13342105263158,"OLSEN",2836,"Por","Cagliari",1,1,0,3.74350466174046
3,3,21,"C","D'ALESSANDRO","Udinese",20,5.95,5.92,3.11578947368421,"DALESSANDRO",21,"E","SPAL",7,7,0,3.57624216439714
36,36,234,"C","KUCKA","Parma",18,5.94,6.56,3.10736842105263,"KUCKA",234,"M;C","Parma",14,14,0,3.49635559850182
227,227,2187,"C","BORINI","Milan",19,5.92,6.21,3.105,"BORINI",2187,"W","Milan",5,5,0,3.47388750184378
79,79,376,"C","VERDI","Napoli",18,5.86,6.53,3.09315789473684,"VERDI",376,"W;A","Napoli",17,17,0,3.36154701855348
107,107,491,"D","SALAMON","Frosinone",20,5.82,5.75,3.02631578947368,"SALAMON",491,"Dc","SPAL",3,3,0,2.72744740175944
8,8,54,"D","ROSSETTINI","Chievo",21,5.55,5.43,3.00078947368421,"ROSSETTINI",54,"Dd;Dc","Lecce",5,5,0,2.48529124888933
261,261,2646,"C","SANDRO","Udinese",21,5.64,5.43,3.00078947368421,"SANDRO",2646,"M;C","Genoa",2,2,0,2.48529124888933
197,197,2009,"C","LUKIC","Torino",18,6.08,6.28,2.97473684210526,"LUKIC",2009,"C","Torino",6,5,1,2.23814218565068
399,399,,,,,,,,2.95395110597029,"MOROSINI",2106,"T;A","Brescia",8,8,0,2.04095768246854
400,400,,,,,,,,2.95395110597029,"SPALEK",4448,"T","Brescia",8,8,0,2.04095768246854
401,401,,,,,,,,2.95395110597029,"MANCOSU",65,"T","Lecce",8,8,0,2.04095768246854
402,402,,,,,,,,2.95395110597029,"BERISHAE",316,"Por","SPAL",8,8,0,2.04095768246854
403,403,,,,,,,,2.95395110597029,"TONALI",4449,"M;C","Brescia",8,7,1,2.04095768246854
404,404,,,,,,,,2.95395110597029,"HERNANDEZT",4292,"Ds;E","Milan",8,8,0,2.04095768246854
405,405,,,,,,,,2.95395110597029,"RODRIGUEZR",2169,"Ds;E","Milan",8,8,0,2.04095768246854
406,406,,,,,,,,2.95395110597029,"DENSWIL",4414,"Ds;Dc","Bologna",8,8,0,2.04095768246854
407,407,,,,,,,,2.95395110597029,"IGOR",4407,"Ds;Dc","SPAL",8,7,1,2.04095768246854
408,408,,,,,,,,2.95395110597029,"TOLJAN",4426,"Dd;Ds;E","Sassuolo",8,8,0,2.04095768246854
409,409,,,,,,,,2.95395110597029,"STRYGERLARSEN",2315,"Dd;Dc;E","Udinese",8,8,0,2.04095768246854
410,410,,,,,,,,2.95395110597029,"CISTANA",4442,"Dd;Dc","Brescia",8,7,1,2.04095768246854
411,411,,,,,,,,2.95395110597029,"DANILOLAR",578,"Dc","Bologna",8,8,0,2.04095768246854
412,412,,,,,,,,2.95395110597029,"ZAPATAC",365,"Dc","Genoa",8,8,0,2.04095768246854
413,413,,,,,,,,2.95395110597029,"LUIZFELIPE",2335,"Dc","Lazio",8,7,1,2.04095768246854
414,414,,,,,,,,2.95395110597029,"MURILLO",259,"Dc","Sampdoria",8,9,-1,2.04095768246854
415,415,,,,,,,,2.95395110597029,"SKRTEL",4516,"Dc","Atalanta",8,8,0,2.04095768246854
416,416,,,,,,,,2.95395110597029,"ZMRHAL",4513,"C;W","Brescia",8,8,0,2.04095768246854
417,417,,,,,,,,2.95395110597029,"CASTROVILLI",4377,"C;T","Fiorentina",8,7,1,2.04095768246854
418,418,,,,,,,,2.95395110597029,"ADEKANYE",4388,"A","Lazio",8,8,0,2.04095768246854
298,298,2804,"C","SCOZZARELLA","Parma",19,5.92,5.87,2.935,"SCOZZARELLA",2804,"M;C","Parma",4,4,0,1.86117745283223
137,137,630,"D","SALA","Sampdoria",19,5.87,5.79,2.895,"SALA",630,"Dd;E","Sampdoria",4,4,0,1.48171626482951
279,279,2769,"D","MAGNANI","Sassuolo",18,6.11,6.11,2.89421052631579,"MAGNANI",2769,"Dc","Brescia",6,6,0,1.47422689927682
22,22,144,"D","TONELLI","Sampdoria",19,5.84,5.74,2.87,"TONELLI",144,"Dc","Napoli",5,5,0,1.24455302232781
235,235,2213,"C","CASSATA","Frosinone",18,5.83,6,2.84210526315789,"CASSATA",2213,"C","Genoa",1,1,0,0.979928772799549
243,243,2279,"D","ROMAGNA","Cagliari",18,6.06,6,2.84210526315789,"ROMAGNA",2279,"Dc","Cagliari",5,5,0,0.979928772799549
91,91,407,"A","GABBIADINI","Sampdoria",16,6,6.66,2.80421052631579,"GABBIADINI",407,"A","Sampdoria",13,13,0,0.620439226270709
160,160,801,"C","GAGLIARDINI","Inter",15,6.1,6.97,2.75131578947368,"GAGLIARDINI",801,"M;C","Inter",9,9,0,0.118651734240756
419,419,,,,,,,,2.73880839867935,"MARONI",4405,"T","Sampdoria",7,7,0,0
420,420,,,,,,,,2.73880839867935,"JORONEN",4425,"Por","Brescia",7,6,1,0
421,421,,,,,,,,2.73880839867935,"RADUI",1843,"Por","Genoa",7,8,-1,0
422,422,,,,,,,,2.73880839867935,"SILVESTRI",2211,"Por","Verona",7,6,1,0
423,423,,,,,,,,2.73880839867935,"AYE",4413,"Pc","Brescia",7,7,0,0
424,424,,,,,,,,2.73880839867935,"HERNANI",4423,"M;C","Parma",7,7,0,0
425,425,,,,,,,,2.73880839867935,"MIGUELVELOSO",2011,"M;C","Verona",7,5,2,0
426,426,,,,,,,,2.73880839867935,"IMBULA",2389,"M;C","Lecce",7,7,0,0
427,427,,,,,,,,2.73880839867935,"WALACE",2392,"M","Udinese",7,7,0,0
428,428,,,,,,,,2.73880839867935,"JONY",4424,"E;W","Lazio",7,7,0,0
429,429,,,,,,,,2.73880839867935,"ARANA",4526,"E","Atalanta",7,7,0,0
430,430,,,,,,,,2.73880839867935,"BOCCHETTI",4420,"Ds;Dc","Verona",7,7,0,0
431,431,,,,,,,,2.73880839867935,"MASIELLOA",15,"Dd;Dc","Atalanta",7,7,0,0
432,432,,,,,,,,2.73880839867935,"ELMAS",4479,"C;T","Napoli",7,7,0,0
433,433,,,,,,,,2.73880839867935,"NDOJ",4447,"C","Brescia",7,7,0,0
92,92,408,"A","HIGUAIN","Milan",15,6,6.93,2.73552631578947,"HIGUAIN",408,"Pc","Juventus",28,28,0,-0.031135576812943
133,133,610,"P","GOLLINI","Atalanta",20,6.22,5.15,2.71052631578947,"GOLLINI",610,"Por","Atalanta",14,14,0,-0.268298819314645
256,256,2355,"D","MARLON","Sassuolo",18,5.69,5.72,2.70947368421053,"MARLON",2355,"Dc","Sassuolo",6,6,0,-0.278284640051488
18,18,126,"A","PALOSCHI","SPAL",17,5.74,6,2.68421052631579,"PALOSCHI",126,"Pc","SPAL",8,8,0,-0.517944337737443
265,265,2719,"A","BARROW","Atalanta",17,5.82,6,2.68421052631579,"BARROW",2719,"Pc","Atalanta",8,8,0,-0.517944337737443
202,202,2062,"D","BASTOS","Lazio",17,5.82,5.91,2.64394736842105,"BASTOS",2062,"Dc","Lazio",5,5,0,-0.899901980924431
263,263,2659,"C","DABO","Fiorentina",17,5.79,5.91,2.64394736842105,"DABO",2659,"M;C","Fiorentina",3,3,0,-0.899901980924431
121,121,533,"A","FLOCCARI","SPAL",15,6.07,6.67,2.63289473684211,"FLOCCARI",533,"Pc","SPAL",7,7,0,-1.00475309866195
124,124,550,"D","MAKSIMOVIC","Napoli",17,5.88,5.76,2.57684210526316,"MAKSIMOVIC",550,"Dd;Dc","Napoli",5,5,0,-1.53649805290262
172,172,1871,"C","DEIOLA","Cagliari",17,5.74,5.65,2.52763157894737,"DEIOLA",1871,"C","Cagliari",2,2,0,-2.00333517235334
434,434,,,,,,,,2.52366569138841,"AMRABAT",4522,"E;M","Verona",6,5,1,-2.04095768246853
435,435,,,,,,,,2.52366569138841,"MARTELLA",1896,"Ds;E","Brescia",6,6,0,-2.04095768246853
436,436,,,,,,,,2.52366569138841,"BARRECA",1979,"Ds;E","Genoa",6,6,0,-2.04095768246853
437,437,,,,,,,,2.52366569138841,"PELLEGRINILU",2728,"Ds;E","Cagliari",6,6,0,-2.04095768246853
438,438,,,,,,,,2.52366569138841,"CALDERONI",4470,"Ds;E","Lecce",6,6,0,-2.04095768246853
439,439,,,,,,,,2.52366569138841,"SABELLI",791,"Dd;E","Brescia",6,6,0,-2.04095768246853
440,440,,,,,,,,2.52366569138841,"BENZAR",4398,"Dd;E","Lecce",6,6,0,-2.04095768246853
441,441,,,,,,,,2.52366569138841,"MATEJU",4373,"Dd;Ds;E","Brescia",6,6,0,-2.04095768246853
442,442,,,,,,,,2.52366569138841,"RRAHMANI",4409,"Dd;Ds;Dc","Verona",6,5,1,-2.04095768246853
443,443,,,,,,,,2.52366569138841,"GRAVILLON",2184,"Dd;Dc","Sassuolo",6,6,0,-2.04095768246853
444,444,,,,,,,,2.52366569138841,"CHANCELLOR",4429,"Dc","Brescia",6,5,1,-2.04095768246853
445,445,,,,,,,,2.52366569138841,"DEMAIO",224,"Dc","Udinese",6,6,0,-2.04095768246853
446,446,,,,,,,,2.52366569138841,"TROOSTEKONG",2870,"Dc","Udinese",6,5,1,-2.04095768246853
447,447,,,,,,,,2.52366569138841,"ZURKOWSKI",4376,"C","Fiorentina",6,6,0,-2.04095768246853
448,448,,,,,,,,2.52366569138841,"GUMUS",4381,"A","Genoa",6,6,0,-2.04095768246853
147,147,697,"C","CUADRADO","Juventus",16,5.78,5.97,2.51368421052632,"CUADRADO",697,"E;W","Juventus",9,9,0,-2.13564729711742
152,152,771,"C","BOATENG","Sassuolo",13,6.35,7.31,2.50078947368421,"BOATENG",771,"A","Fiorentina",17,16,1,-2.25797360114466
84,84,390,"D","GHOULAM","Napoli",15,6,6.33,2.49868421052632,"GHOULAM",390,"Ds;E","Napoli",12,12,0,-2.27794524261844
316,316,2869,"D","DJIDJI","Torino",16,5.97,5.91,2.48842105263158,"DJIDJI",2869,"Ds;Dc","Torino",8,8,0,-2.37530699480338
189,189,1987,"C","JANKTO","Sampdoria",17,5.59,5.53,2.47394736842105,"JANKTO",1987,"C","Sampdoria",9,9,0,-2.51261202993598
58,58,294,"D","RUGANI","Juventus",15,5.93,6.23,2.45921052631579,"RUGANI",294,"Dc","Juventus",7,7,0,-2.65241352025274
13,13,106,"D","MATTIELLO","Bologna",16,5.72,5.84,2.45894736842105,"MATTIELLO",106,"Dd;Ds;E","Cagliari",6,6,0,-2.654909975437
325,325,4332,"D","DEMIRAL","Sassuolo",14,6.29,6.61,2.43526315789474,"DEMIRAL",4332,"Dc","Juventus",8,8,0,-2.8795909420175
39,39,237,"C","PEROTTI","Roma",13,6,7.04,2.40842105263158,"PEROTTI",237,"W","Roma",14,14,0,-3.13422937080881
167,167,1858,"C","KREJCI","Bologna",16,5.59,5.72,2.40842105263158,"KREJCI",1858,"E","Bologna",2,2,0,-3.13422937080881
115,115,521,"D","PELUSO","Sassuolo",16,5.62,5.66,2.38315789473684,"PELUSO",521,"Ds;Dc","Sassuolo",3,3,0,-3.37388906849477
70,70,331,"C","BIGLIA","Milan",15,5.93,6.03,2.38026315789474,"BIGLIA",331,"M;C","Milan",9,9,0,-3.40135007552123
80,80,380,"A","MATRI","Sassuolo",15,5.7,6.03,2.38026315789474,"MATRI",380,"Pc","Sassuolo",4,4,0,-3.40135007552123
191,191,1998,"A","PJACA","Fiorentina",15,5.7,5.93,2.34078947368421,"PJACA",1998,"A","Juventus",4,4,0,-3.77581835315553
96,96,433,"C","HILJEMARK","Genoa",15,5.7,5.9,2.32894736842105,"HILJEMARK",433,"C","Genoa",5,5,0,-3.88815883644584
449,449,,,,,,,,2.30852298409747,"BONAZZOLI",505,"Pc","Sampdoria",5,4,1,-4.08191536493707
450,450,,,,,,,,2.30852298409747,"SHAKHOV",4400,"M;C","Lecce",5,5,0,-4.08191536493707
451,451,,,,,,,,2.30852298409747,"JAJALO",434,"M;C","Udinese",5,5,0,-4.08191536493707
452,452,,,,,,,,2.30852298409747,"BRUGMAN",430,"M;C","Parma",5,5,0,-4.08191536493707
453,453,,,,,,,,2.30852298409747,"TACHTSIDIS",241,"M","Lecce",5,5,0,-4.08191536493707
454,454,,,,,,,,2.30852298409747,"MEDEL",272,"M","Bologna",5,5,0,-4.08191536493707
455,455,,,,,,,,2.30852298409747,"SEMA",4524,"E","Udinese",5,5,0,-4.08191536493707
456,456,,,,,,,,2.30852298409747,"MARIORUI",142,"Ds;E","Napoli",5,5,0,-4.08191536493707
457,457,,,,,,,,2.30852298409747,"PEZZELLAGIU",770,"Ds;E","Parma",5,5,0,-4.08191536493707
458,458,,,,,,,,2.30852298409747,"JUANJESUS",256,"Ds;Dc","Roma",5,5,0,-4.08191536493707
459,459,,,,,,,,2.30852298409747,"RISPOLI",423,"Dd;E","Lecce",5,5,0,-4.08191536493707
460,460,,,,,,,,2.30852298409747,"DESCIGLIO",358,"Dd;Ds;E","Juventus",5,5,0,-4.08191536493707
461,461,,,,,,,,2.30852298409747,"TOMIYASU",4422,"Dd;Dc","Bologna",5,4,1,-4.08191536493707
462,462,,,,,,,,2.30852298409747,"LUCIONI",2241,"Dc","Lecce",5,5,0,-4.08191536493707
463,463,,,,,,,,2.30852298409747,"DAWIDOWICZ",4493,"Dc","Verona",5,5,0,-4.08191536493707
464,464,,,,,,,,2.30852298409747,"CETIN",4519,"Dc","Roma",5,5,0,-4.08191536493707
465,465,,,,,,,,2.30852298409747,"BERISHAV",2771,"C;T","Lazio",5,5,0,-4.08191536493707
466,466,,,,,,,,2.30852298409747,"MAJER",4475,"C;T","Lecce",5,5,0,-4.08191536493707
467,467,,,,,,,,2.30852298409747,"PETRICCIONE",179,"C","Lecce",5,5,0,-4.08191536493707
468,468,,,,,,,,2.30852298409747,"THORSBY",4404,"C","Sampdoria",5,5,0,-4.08191536493707
469,469,,,,,,,,2.30852298409747,"FALCO",658,"A","Lecce",5,4,1,-4.08191536493707
317,317,2871,"D","KLAVAN","Cagliari",15,5.9,5.83,2.30131578947368,"KLAVAN",2871,"Dc","Cagliari",6,6,0,-4.15028663078983
105,105,479,"A","SANABRIA","Genoa",14,5.79,6.18,2.27684210526316,"SANABRIA",479,"Pc","Genoa",9,9,0,-4.38245696292301
114,114,517,"D","DELL'ORCO","Empoli",14,5.89,6.14,2.26210526315789,"DELLORCO",517,"Ds;Dc","Lecce",5,5,0,-4.52225845323987
193,193,2003,"C","MURGIA","SPAL",14,5.93,6.11,2.25105263157895,"MURGIA",2003,"M;C","SPAL",8,8,0,-4.62710957097739
177,177,1917,"P","DRAGOWSKI","Empoli",17,6.44,5.03,2.25026315789474,"DRAGOWSKI",1917,"Por","Fiorentina",10,11,-1,-4.63459893653007
221,221,2171,"D","LYANCO","Bologna",14,5.89,5.96,2.19578947368421,"LYANCO",2171,"Dc","Torino",8,8,0,-5.15136515966539
259,259,2468,"P","OSPINA","Napoli",17,6.06,4.88,2.18315789473684,"OSPINA",2468,"Por","Napoli",3,3,0,-5.27119500850836
174,174,1876,"D","PAJAC","Empoli",13,6,6.35,2.17236842105263,"PAJAC",1876,"Ds;E","Genoa",5,5,0,-5.37354967106173
12,12,99,"D","CACCIATORE","Cagliari",14,5.86,5.89,2.17,"CACCIATORE",99,"Dd;Ds;E","Cagliari",8,8,0,-5.39601776771977
257,257,2378,"C","PASTORE","Roma",12,5.92,6.75,2.13157894736842,"PASTORE",2378,"T","Roma",10,10,0,-5.76050022461713
323,323,4330,"C","LERAGER","Genoa",14,5.68,5.75,2.11842105263158,"LERAGER",4330,"M;C","Genoa",7,7,0,-5.88532298382852
320,320,4322,"C","PAQUETA'","Milan",13,6.12,6.19,2.11763157894737,"PAQUETA",4322,"T","Milan",14,15,-1,-5.89281234938121
68,68,327,"D","PATRIC","Lazio",14,5.75,5.71,2.10368421052632,"PATRIC",327,"Dd;Dc;E","Lazio",2,2,0,-6.02512447414529
470,470,,,,,,,,2.09338027680653,"DIGAUDIO",81,"W","Verona",4,4,0,-6.12287304740562
471,471,,,,,,,,2.09338027680653,"BUFFON",282,"Por","Juventus",4,4,0,-6.12287304740562
472,472,,,,,,,,2.09338027680653,"AUGELLO",4421,"Ds;E","Sampdoria",4,4,0,-6.12287304740562
473,473,,,,,,,,2.09338027680653,"VITALEL",4496,"Ds;E","Verona",4,4,0,-6.12287304740562
474,474,,,,,,,,2.09338027680653,"EMPEREUR",4494,"Ds;Dc","Verona",4,4,0,-6.12287304740562
475,475,,,,,,,,2.09338027680653,"TERAVEST",2795,"Dd;E","Udinese",4,4,0,-6.12287304740562
476,476,,,,,,,,2.09338027680653,"FARAONI",581,"Dd;E","Verona",4,4,0,-6.12287304740562
477,477,,,,,,,,2.09338027680653,"FERRARIA",45,"Dd;Dc","Sampdoria",4,4,0,-6.12287304740562
478,478,,,,,,,,2.09338027680653,"MULDUR",4521,"Dd;Dc","Sassuolo",4,3,1,-6.12287304740562
479,479,,,,,,,,2.09338027680653,"MECCARIELLO",4472,"Dc","Lecce",4,4,0,-6.12287304740562
480,480,,,,,,,,2.09338027680653,"DERMAKU",139,"Dc","Parma",4,4,0,-6.12287304740562
481,481,,,,,,,,2.09338027680653,"CHABOT",4403,"Dc","Sampdoria",4,4,0,-6.12287304740562
482,482,,,,,,,,2.09338027680653,"SCHOUTEN",4393,"C;T","Bologna",4,4,0,-6.12287304740562
483,483,,,,,,,,2.09338027680653,"JAGIELLO",4384,"C","Genoa",4,4,0,-6.12287304740562
484,484,,,,,,,,2.09338027680653,"HENDERSONL",4498,"C","Verona",4,4,0,-6.12287304740562
485,485,,,,,,,,2.09338027680653,"AGUDELO",4515,"C","Genoa",4,4,0,-6.12287304740562
284,284,2776,"A","YOUNES","Napoli",11,6.27,7.23,2.09289473684211,"YOUNES",2776,"W;A","Napoli",8,8,0,-6.12747913669864
15,15,112,"C","CASTRO","Cagliari",12,6.12,6.58,2.07789473684211,"CASTRO",112,"C;T","Cagliari",13,13,0,-6.26977708219966
195,195,2007,"D","WALLACE","Lazio",15,5.57,5.2,2.05263157894737,"WALLACE",2007,"Dc","Lazio",3,3,0,-6.50943677988562
62,62,306,"A","CERRI","Cagliari",14,5.61,5.5,2.02631578947368,"CERRI",306,"Pc","Cagliari",3,3,0,-6.75908229830852
129,129,572,"P","MERET","Napoli",14,6.18,5.46,2.01157894736842,"MERET",572,"Por","Napoli",14,15,-1,-6.89888378862528
89,89,405,"C","VALDIFIORI","SPAL",13,5.88,5.85,2.00131578947368,"VALDIFIORI",405,"C","SPAL",2,2,0,-6.99624554081022
50,50,262,"D","SANTON","Roma",13,5.69,5.77,1.97394736842105,"SANTON",262,"Dd;Ds;E","Roma",3,3,0,-7.25587687996996
37,37,235,"C","LAXALT","Milan",13,5.77,5.69,1.94657894736842,"LAXALT",235,"E","Torino",5,5,0,-7.5155082191297
21,21,141,"D","LAURINI","Fiorentina",13,5.81,5.65,1.93289473684211,"LAURINI",141,"Dd;E","Parma",7,7,0,-7.64532388870952
176,176,1891,"D","CECCHERINI","Fiorentina",13,5.77,5.65,1.93289473684211,"CECCHERINI",1891,"Dd;Dc","Fiorentina",6,6,0,-7.64532388870952
72,72,333,"C","CATALDI","Lazio",11,6.09,6.64,1.92210526315789,"CATALDI",333,"M;C","Lazio",6,6,0,-7.74767855126298
486,486,,,,,,,,1.87823756951559,"LUKAKUJ",1999,"E","Lazio",3,3,0,-8.16383072987415
487,487,,,,,,,,1.87823756951559,"WALUKIEWICZ",4374,"Dc","Cagliari",3,3,0,-8.16383072987415
488,488,,,,,,,,1.87823756951559,"HAYE",4474,"C;T","Lecce",3,3,0,-8.16383072987415
489,489,,,,,,,,1.87823756951559,"TABANELLI",4476,"C;T","Lecce",3,3,0,-8.16383072987415
490,490,,,,,,,,1.87823756951559,"GUSTAFSON",2057,"C;T","Torino",3,3,0,-8.16383072987415
491,491,,,,,,,,1.87823756951559,"BORJAVALERO",172,"C","Inter",3,3,0,-8.16383072987415
282,282,2773,"A","SPROCATI","Parma",12,5.67,5.92,1.86947368421053,"SPROCATI",2773,"W;A","Parma",6,6,0,-8.24696958810858
56,56,287,"D","CACERES","Juventus",12,5.79,5.75,1.81578947368421,"CACERES",287,"Dd;Dc","Fiorentina",4,4,0,-8.75624644569121
6,6,41,"P","MIRANTE","Roma",11,6.55,6.27,1.815,"MIRANTE",41,"Por","Roma",1,1,0,-8.76373581124389
71,71,332,"C","CANDREVA","Inter",11,6,6.27,1.815,"CANDREVA",332,"E;W","Inter",10,9,1,-8.76373581124389
48,48,254,"D","DIMARCO","Parma",11,6.14,6.23,1.80342105263158,"DIMARCO",254,"Ds;E","Inter",3,3,0,-8.87357983934994
272,272,2752,"D","RASMUSSEN","Empoli",13,5.31,5.27,1.80289473684211,"RASMUSSEN",2752,"Dc","Fiorentina",2,2,0,-8.87857274971835
103,103,472,"A","DESTRO","Bologna",9,6.28,7.56,1.79052631578947,"DESTRO",472,"Pc","Bologna",18,19,-1,-8.99590614337717
187,187,1982,"A","PARIGINI","Torino",12,5.75,5.67,1.79052631578947,"PARIGINI",1982,"W","Torino",2,2,0,-8.99590614337717
108,108,494,"C","BARRETO","Sampdoria",11,6.05,6.14,1.77736842105263,"BARRETO",494,"M;C","Sampdoria",5,5,0,-9.12072890258857
274,274,2758,"D","GUNTER","Genoa",12,5.67,5.62,1.77473684210526,"GUNTER",2758,"Dc","Verona",5,5,0,-9.14569345443087
318,318,2873,"A","TEODORCZYK","Udinese",12,5.67,5.62,1.77473684210526,"TEODORCZYK",2873,"Pc","Udinese",8,8,0,-9.14569345443087
60,60,299,"C","KHEDIRA","Juventus",10,6.1,6.7,1.76315789473684,"KHEDIRA",299,"C","Juventus",8,8,0,-9.25553748253691
492,492,,,,,,,,1.66309486222465,"LOFASO",2048,"T;A","Lecce",2,2,0,-10.2047884123427
493,493,,,,,,,,1.66309486222465,"ANDERSONA",4389,"T","Lazio",2,2,0,-10.2047884123427
494,494,,,,,,,,1.66309486222465,"DANZI",2726,"M;C","Verona",2,2,0,-10.2047884123427
495,495,,,,,,,,1.66309486222465,"CURCIO",4443,"Ds;E","Brescia",2,2,0,-10.2047884123427
496,496,,,,,,,,1.66309486222465,"VERA",4399,"Ds;E","Lecce",2,2,0,-10.2047884123427
497,497,,,,,,,,1.66309486222465,"TRIPALDELLI",4406,"Ds;E","Sassuolo",2,2,0,-10.2047884123427
498,498,,,,,,,,1.66309486222465,"PINNA",4454,"Dd;E","Cagliari",2,1,1,-10.2047884123427
499,499,,,,,,,,1.66309486222465,"FIAMOZZI",805,"Dd;E","Lecce",2,2,0,-10.2047884123427
500,500,,,,,,,,1.66309486222465,"SEMPRINI",4444,"Dd;Dc;E","Brescia",2,2,0,-10.2047884123427
501,501,,,,,,,,1.66309486222465,"GASTALDELLO",47,"Dc","Brescia",2,2,0,-10.2047884123427
502,502,,,,,,,,1.66309486222465,"ELYAMIQ",2664,"Dc","Genoa",2,1,1,-10.2047884123427
503,503,,,,,,,,1.66309486222465,"KUMBULLA",4495,"Dc","Verona",2,1,1,-10.2047884123427
504,504,,,,,,,,1.66309486222465,"RIGONIL",438,"C","Parma",2,2,0,-10.2047884123427
505,505,,,,,,,,1.66309486222465,"RAGATZU",4455,"A","Cagliari",2,2,0,-10.2047884123427
506,506,,,,,,,,1.66309486222465,"TUTINO",4507,"A","Verona",2,1,1,-10.2047884123427
507,507,,,,,,,,1.66309486222465,"ANTONUCCI",2657,"A","Roma",2,2,0,-10.2047884123427
249,249,2289,"D","DALBERT","Inter",11,5.73,5.73,1.65868421052632,"DALBERT",2289,"Ds;E","Fiorentina",3,3,0,-10.2466301906755
9,9,58,"C","DIAWARA","Napoli",11,5.82,5.64,1.63263157894737,"DIAWARA",58,"M;C","Roma",9,9,0,-10.4937792539142
